"Town","FIPS","Year","Race","Type","Measure Type","Variable","Value"
"Andover","0901301080","2001-2005","All","Infant","Number","Fetal Mortality",-9999
"Andover","0901301080","2001-2005","All","Infant","Rate","Fetal Mortality",-9999
"Andover","0901301080","2001-2005","All","Neonatal","Number","Fetal Mortality",-9999
"Andover","0901301080","2001-2005","All","Neonatal","Rate","Fetal Mortality",-9999
"Andover","0901301080","2001-2005","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2001-2005","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2001-2005","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2001-2005","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2001-2005","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2001-2005","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2001-2005","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2001-2005","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2001-2005","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2001-2005","White","Infant","Number","Fetal Mortality",-9999
"Andover","0901301080","2002-2006","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2002-2006","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","2002-2006","All","Infant","Number","Fetal Mortality",-9999
"Andover","0901301080","2002-2006","All","Infant","Rate","Fetal Mortality",-9999
"Andover","0901301080","2002-2006","All","Neonatal","Number","Fetal Mortality",-9999
"Andover","0901301080","2002-2006","All","Neonatal","Rate","Fetal Mortality",-9999
"Andover","0901301080","2002-2006","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2002-2006","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2002-2006","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2002-2006","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2002-2006","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2002-2006","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2002-2006","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2002-2006","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2002-2006","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2002-2006","White","Infant","Number","Fetal Mortality",-9999
"Andover","0901301080","2003-2007","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2003-2007","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","2003-2007","All","Infant","Number","Fetal Mortality",-9999
"Andover","0901301080","2003-2007","All","Infant","Rate","Fetal Mortality",-9999
"Andover","0901301080","2003-2007","All","Neonatal","Number","Fetal Mortality",-9999
"Andover","0901301080","2003-2007","All","Neonatal","Rate","Fetal Mortality",-9999
"Andover","0901301080","2003-2007","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2003-2007","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2003-2007","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2003-2007","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2003-2007","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2003-2007","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2003-2007","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2003-2007","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2003-2007","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2003-2007","White","Infant","Number","Fetal Mortality",-9999
"Andover","0901301080","2004-2008","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2004-2008","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","2004-2008","All","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2004-2008","All","Infant","Rate","Fetal Mortality",0
"Andover","0901301080","2004-2008","All","Neonatal","Number","Fetal Mortality",0
"Andover","0901301080","2004-2008","All","Neonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2004-2008","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2004-2008","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2004-2008","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2004-2008","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2004-2008","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2004-2008","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2004-2008","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2004-2008","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2004-2008","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2004-2008","White","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2005-2009","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2005-2009","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","2005-2009","All","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2005-2009","All","Infant","Rate","Fetal Mortality",0
"Andover","0901301080","2005-2009","All","Neonatal","Number","Fetal Mortality",0
"Andover","0901301080","2005-2009","All","Neonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2005-2009","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2005-2009","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2005-2009","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2005-2009","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2005-2009","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2005-2009","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2005-2009","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2005-2009","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2005-2009","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2005-2009","White","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2006-2010","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2006-2010","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","2006-2010","All","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2006-2010","All","Infant","Rate","Fetal Mortality",0
"Andover","0901301080","2006-2010","All","Neonatal","Number","Fetal Mortality",0
"Andover","0901301080","2006-2010","All","Neonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2006-2010","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2006-2010","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2006-2010","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2006-2010","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2006-2010","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2006-2010","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2006-2010","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2006-2010","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2006-2010","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2006-2010","White","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2007-2011","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2007-2011","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","2007-2011","All","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2007-2011","All","Infant","Rate","Fetal Mortality",0
"Andover","0901301080","2007-2011","All","Neonatal","Number","Fetal Mortality",0
"Andover","0901301080","2007-2011","All","Neonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2007-2011","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2007-2011","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2007-2011","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2007-2011","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2007-2011","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2007-2011","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2007-2011","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2007-2011","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2007-2011","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2007-2011","White","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2008-2012","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2008-2012","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","2008-2012","All","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2008-2012","All","Infant","Rate","Fetal Mortality",0
"Andover","0901301080","2008-2012","All","Neonatal","Number","Fetal Mortality",0
"Andover","0901301080","2008-2012","All","Neonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2008-2012","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2008-2012","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2008-2012","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2008-2012","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2008-2012","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2008-2012","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2008-2012","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2008-2012","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2008-2012","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2008-2012","White","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2009-2013","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2009-2013","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","2009-2013","All","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2009-2013","All","Infant","Rate","Fetal Mortality",0
"Andover","0901301080","2009-2013","All","Neonatal","Number","Fetal Mortality",0
"Andover","0901301080","2009-2013","All","Neonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2009-2013","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2009-2013","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2009-2013","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2009-2013","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2009-2013","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2009-2013","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2009-2013","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2009-2013","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2009-2013","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2009-2013","White","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2010-2014","All","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2010-2014","All","Fetal","Rate","Fetal Mortality",0
"Andover","0901301080","2010-2014","All","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2010-2014","All","Infant","Rate","Fetal Mortality",0
"Andover","0901301080","2010-2014","All","Neonatal","Number","Fetal Mortality",0
"Andover","0901301080","2010-2014","All","Neonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2010-2014","All","Postneonatal","Number","Fetal Mortality",0
"Andover","0901301080","2010-2014","All","Postneonatal","Rate","Fetal Mortality",0
"Andover","0901301080","2010-2014","Black or African American","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2010-2014","Black or African American","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2010-2014","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2010-2014","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2010-2014","Other","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2010-2014","Other","Infant","Number","Fetal Mortality",0
"Andover","0901301080","2010-2014","White","Fetal","Number","Fetal Mortality",0
"Andover","0901301080","2010-2014","White","Infant","Number","Fetal Mortality",0
"Ansonia","0900901220","1999-2003","All","Fetal","Number","Fetal Mortality",6
"Ansonia","0900901220","1999-2003","All","Fetal","Rate","Fetal Mortality",4.7
"Ansonia","0900901220","1999-2003","All","Infant","Number","Fetal Mortality",11
"Ansonia","0900901220","1999-2003","All","Infant","Rate","Fetal Mortality",8.6
"Ansonia","0900901220","1999-2003","All","Neonatal","Number","Fetal Mortality",10
"Ansonia","0900901220","1999-2003","All","Neonatal","Rate","Fetal Mortality",7.8
"Ansonia","0900901220","1999-2003","All","Postneonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","1999-2003","All","Postneonatal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","1999-2003","Black or African American","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","1999-2003","Black or African American","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","1999-2003","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","1999-2003","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Ansonia","0900901220","1999-2003","Other","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","1999-2003","Other","Infant","Number","Fetal Mortality",0
"Ansonia","0900901220","1999-2003","White","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","1999-2003","White","Infant","Number","Fetal Mortality",7
"Ansonia","0900901220","2000-2004","All","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2000-2004","All","Fetal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2000-2004","All","Infant","Number","Fetal Mortality",10
"Ansonia","0900901220","2000-2004","All","Infant","Rate","Fetal Mortality",7.8
"Ansonia","0900901220","2000-2004","All","Neonatal","Number","Fetal Mortality",9
"Ansonia","0900901220","2000-2004","All","Neonatal","Rate","Fetal Mortality",7
"Ansonia","0900901220","2000-2004","All","Postneonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2000-2004","All","Postneonatal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2000-2004","Black or African American","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","2000-2004","Black or African American","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2000-2004","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","2000-2004","Hispanic or Latino","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2000-2004","Other","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","2000-2004","Other","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2000-2004","White","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2000-2004","White","Infant","Number","Fetal Mortality",6
"Ansonia","0900901220","2001-2005","All","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2001-2005","All","Fetal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2001-2005","All","Infant","Number","Fetal Mortality",10
"Ansonia","0900901220","2001-2005","All","Infant","Rate","Fetal Mortality",7.9
"Ansonia","0900901220","2001-2005","All","Neonatal","Number","Fetal Mortality",8
"Ansonia","0900901220","2001-2005","All","Neonatal","Rate","Fetal Mortality",6.3
"Ansonia","0900901220","2001-2005","All","Postneonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2001-2005","All","Postneonatal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2001-2005","Black or African American","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","2001-2005","Black or African American","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2001-2005","Hispanic or Latino","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","2001-2005","Hispanic or Latino","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2001-2005","Other","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","2001-2005","Other","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2001-2005","White","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2001-2005","White","Infant","Number","Fetal Mortality",6
"Ansonia","0900901220","2002-2006","All","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2002-2006","All","Fetal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2002-2006","All","Infant","Number","Fetal Mortality",8
"Ansonia","0900901220","2002-2006","All","Infant","Rate","Fetal Mortality",6.3
"Ansonia","0900901220","2002-2006","All","Neonatal","Number","Fetal Mortality",6
"Ansonia","0900901220","2002-2006","All","Neonatal","Rate","Fetal Mortality",4.7
"Ansonia","0900901220","2002-2006","All","Postneonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2002-2006","All","Postneonatal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2002-2006","Black or African American","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2002-2006","Black or African American","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2002-2006","Hispanic or Latino","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2002-2006","Hispanic or Latino","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2002-2006","Other","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","2002-2006","Other","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2002-2006","White","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2002-2006","White","Infant","Number","Fetal Mortality",6
"Ansonia","0900901220","2003-2007","All","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2003-2007","All","Fetal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2003-2007","All","Infant","Number","Fetal Mortality",9
"Ansonia","0900901220","2003-2007","All","Infant","Rate","Fetal Mortality",7.1
"Ansonia","0900901220","2003-2007","All","Neonatal","Number","Fetal Mortality",6
"Ansonia","0900901220","2003-2007","All","Neonatal","Rate","Fetal Mortality",4.7
"Ansonia","0900901220","2003-2007","All","Postneonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2003-2007","All","Postneonatal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2003-2007","Black or African American","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2003-2007","Black or African American","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2003-2007","Hispanic or Latino","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2003-2007","Hispanic or Latino","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2003-2007","Other","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","2003-2007","Other","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2003-2007","White","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2003-2007","White","Infant","Number","Fetal Mortality",6
"Ansonia","0900901220","2004-2008","All","Fetal","Number","Fetal Mortality",6
"Ansonia","0900901220","2004-2008","All","Fetal","Rate","Fetal Mortality",4.9
"Ansonia","0900901220","2004-2008","All","Infant","Number","Fetal Mortality",9
"Ansonia","0900901220","2004-2008","All","Infant","Rate","Fetal Mortality",7.4
"Ansonia","0900901220","2004-2008","All","Neonatal","Number","Fetal Mortality",6
"Ansonia","0900901220","2004-2008","All","Neonatal","Rate","Fetal Mortality",4.9
"Ansonia","0900901220","2004-2008","All","Postneonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2004-2008","All","Postneonatal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2004-2008","Black or African American","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2004-2008","Black or African American","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2004-2008","Hispanic or Latino","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2004-2008","Hispanic or Latino","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2004-2008","Other","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","2004-2008","Other","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2004-2008","White","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2004-2008","White","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2005-2009","All","Fetal","Number","Fetal Mortality",6
"Ansonia","0900901220","2005-2009","All","Fetal","Rate","Fetal Mortality",5.1
"Ansonia","0900901220","2005-2009","All","Infant","Number","Fetal Mortality",8
"Ansonia","0900901220","2005-2009","All","Infant","Rate","Fetal Mortality",6.8
"Ansonia","0900901220","2005-2009","All","Neonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2005-2009","All","Neonatal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2005-2009","All","Postneonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2005-2009","All","Postneonatal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2005-2009","Black or African American","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2005-2009","Black or African American","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2005-2009","Hispanic or Latino","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2005-2009","Hispanic or Latino","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2005-2009","Other","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","2005-2009","Other","Infant","Number","Fetal Mortality",0
"Ansonia","0900901220","2005-2009","White","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2005-2009","White","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2006-2010","All","Fetal","Number","Fetal Mortality",7
"Ansonia","0900901220","2006-2010","All","Fetal","Rate","Fetal Mortality",5.8
"Ansonia","0900901220","2006-2010","All","Infant","Number","Fetal Mortality",7
"Ansonia","0900901220","2006-2010","All","Infant","Rate","Fetal Mortality",5.8
"Ansonia","0900901220","2006-2010","All","Neonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2006-2010","All","Neonatal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2006-2010","All","Postneonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2006-2010","All","Postneonatal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2006-2010","Black or African American","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2006-2010","Black or African American","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2006-2010","Hispanic or Latino","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2006-2010","Hispanic or Latino","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2006-2010","Other","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","2006-2010","Other","Infant","Number","Fetal Mortality",0
"Ansonia","0900901220","2006-2010","White","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2006-2010","White","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2007-2011","All","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2007-2011","All","Fetal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2007-2011","All","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2007-2011","All","Infant","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2007-2011","All","Neonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2007-2011","All","Neonatal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2007-2011","All","Postneonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2007-2011","All","Postneonatal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2007-2011","Black or African American","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2007-2011","Black or African American","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2007-2011","Hispanic or Latino","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2007-2011","Hispanic or Latino","Infant","Number","Fetal Mortality",0
"Ansonia","0900901220","2007-2011","Other","Fetal","Number","Fetal Mortality",0
"Ansonia","0900901220","2007-2011","Other","Infant","Number","Fetal Mortality",0
"Ansonia","0900901220","2007-2011","White","Fetal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2007-2011","White","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2008-2012","All","Fetal","Number","Fetal Mortality",6
"Ansonia","0900901220","2008-2012","All","Fetal","Rate","Fetal Mortality",5.4
"Ansonia","0900901220","2008-2012","All","Infant","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2008-2012","All","Infant","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2008-2012","All","Neonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2008-2012","All","Neonatal","Rate","Fetal Mortality",-9999
"Ansonia","0900901220","2008-2012","All","Postneonatal","Number","Fetal Mortality",-9999
"Ansonia","0900901220","2008-2012","All","Postneonatal","Rate","Fetal Mortality",-9999
